Codigo_Transacao,CPF_Cliente,Nome_Cliente,Data_Transacao,Moeda,Valor_Transacao,Tipo_Transacao,Status_Transacao,Categoria,Banco,Num_Parcelas,Taxa_Servico,Valor_Final
FIN000051,170.180.119-44,Marcelo Teixeira,2022-07-16,BRL,13756.99,PIX,Recusada,Tecnologia,Inter,2,335.02,14092.01
FIN000435,743.598.221-82,Andre Monteiro,2023-07-02,BRL,24573.24,Depósito,Recusada,Moradia,XP,6,229.26331653225807,25260.07
FIN000153,137.973.927-15,Leonardo Braga,2022-10-17,BRL,20483.51,Pagamento,Recusada,Alimentação,XP,12,435.67,20919.18
FIN000914,865.644.550-40,Guilherme Mota,2024-09-12,BRL,23184.26,Depósito,,,C6 Bank,3,479.32,23663.58
FIN000231,404.151.402-64,Andre Monteiro,2022-12-28,BRL,72198.39,PIX,Pendente,Investimento,BTG,2,59.07,72257.46
FIN000419,921.724.856-65,Carolina Azevedo,2023-06-18,BRL,5807.39,Saque,Recusada,Viagem,Inter,2,108.85,5916.24
FIN000583,796.973.839-12,Beatriz Lopes,2023-11-14,BRL,2577.87,Depósito,Aprovada,Moradia,Banco do Brasil,12,58.07,2635.94
FIN000268,434.773.493-25,Felipe Andrade,2023-01-31,BRL,2802.69,PIX,,Viagem,Inter,3,32.72,2835.41
FIN000021,173.907.183-97,Beatriz Lopes,2022-06-19,BRL,5331.59,Pagamento,,Investimento,BTG,1,95.08,5426.67
FIN000743,813.419.501-75,Juliana Queiroz,2024-04-09,BRL,3783.46,PIX,Pendente,Alimentação,BTG,2,49.46,3832.92
FIN000458,871.642.681-24,Amanda Vieira,2023-07-23,BRL,13126.98,Depósito,Recusada,Moradia,Banco do Brasil,1,294.48,17671.63
FIN000058,940.414.713-15,Vanessa Coelho,2022-07-23,BRL,17917.02,Depósito,Aprovada,Viagem,C6 Bank,1,108.29,18025.31
FIN000457,304.204.249-69,Felipe Andrade,2023-07-22,BRL,3015.83,PIX,Pendente,Tecnologia,Banco do Brasil,2,64.34,3080.17
FIN000528,308.997.525-22,Amanda Vieira,2023-09-25,BRL,9615.49,Depósito,Aprovada,Alimentação,C6 Bank,2,97.99,9713.48
FIN000168,455.580.927-35,Juliana,2022-10-31,BRL,23505.56,Saque,Aprovada,Vestuário,C6 Bank,20,148.81,23654.37
FIN000137,591.118.292-38,Diego Peixoto,2022-10-03,BRL,7496.36,Depósito,Aprovada,Alimentação,XP,3,53.16,7549.52
FIN000223,602.973.906-87,Natalia Correia,,BRL,3210.95,Depósito,Pendente,Viagem,BTG,12,69.55,3280.5
FIN000510,782.716.306-67,Isabela Nunes,2023-09-09,BRL,7280.06,Pagamento,Aprovada,Viagem,Inter,24,146.79,7426.85
FIN000302,410.823.432-13,Isabela Nunes,2023-03-03,BRL,24411.19,PIX,Pendente,Investimento,BTG,24,561.65,24972.84
FIN000318,321.156.891-93,Diego Peixoto,2023-03-17,BRL,82699.974,Depósito,Pendente,Vestuário,Inter,2,410.44,83110.414
FIN000633,728.896.954-62,Guilherme Mota,2023-12-30,BRL,934.46,Pagamento,Aprovada,Vestuário,XP,12,22.47,956.93
FIN000650,265.904.518-98,Rafael Macedo,2024-01-15,BRL,6582.39,Depósito,Recusada,Moradia,XP,24,42.94,6625.33
FIN000293,736.421.751-86,Thiago Cavalcanti,2023-02-22,BRL,6333.14,Depósito,Pendente,Vestuário,BTG,3,46.29,6379.43
FIN000984,692.951.388-61,Carolina Azevedo,2024-11-15,BRL,16995.5,Depósito,Pendente,Vestuário,BTG,24,336.31,17331.81
FIN000173,426.111.100-98,Marcelo Teixeira,2022-11-05,BRL,14603.07,Pagamento,Pendente,Tecnologia,BTG,12,137.57,14740.64
FIN000178,691.827.268-88,Rafael Macedo,2022-11-09,BRL,4007.15,Pagamento,Pendente,Investimento,BTG,12,29.51,4036.66
FIN000114,416.323.491-95,Diego Peixoto,2022-09-12,BRL,13126.98,PIX,Aprovada,Tecnologia,C6 Bank,2,52.8,13179.779999999999
FIN000130,482.811.488-54,Felipe Andrade,2022-09-26,BRL,10016.54,Pagamento,Pendente,Alimentação,Inter,1,135.2,10151.74
FIN000680,891.808.906-94,Priscila Gomes,2024-02-11,BRL,13579.39,Depósito,Recusada,Investimento,Banco do Brasil,6,100.25,13679.64
FIN000442,291.726.227-19,Juliana Queiroz,2023-07-09,BRL,24956.12,Pagamento,Aprovada,Tecnologia,C6 Bank,3,543.92,25500.04
FIN000543,949.306.912-97,Isabela Nunes,2023-10-09,BRL,20537.51,Depósito,Recusada,Investimento,XP,3,595.39,21132.9
FIN000906,962.920.975-73,Rafael Macedo,2024-09-05,BRL,5151.9,Pagamento,Aprovada,Tecnologia,XP,10,71.83,5223.73
FIN000492,892.413.958-52,Juliana Queiroz,2023-08-23,BRL,9634.95,Saque,Recusada,,C6 Bank,3,198.62,9833.57
FIN000288,970.433.127-31,Marcelo Teixeira,2023-02-18,BRL,72198.39,Depósito,Pendente,Alimentação,BTG,12,257.7,72456.09
FIN000408,770.693.708-95,Guilherme Mota,2023-06-07,BRL,18320.12,Depósito,Recusada,Alimentação,C6 Bank,12,530.15,18850.27
FIN000994,295.301.496-57,Felipe,2024-11-24,BRL,14668.43,Saque,Recusada,Vestuário,XP,60,307.4,14975.83
FIN000597,888.181.916-51,Juliana Queiroz,2023-11-27,BRL,3424.1,Pagamento,Recusada,Viagem,XP,1,79.06,3503.16
FIN000816,215.495.772-43,Henrique Pinto,2024-06-14,BRL,23171.91,Depósito,Pendente,Viagem,C6 Bank,1,650.94,23822.85
FIN000854,818.528.269-17,Juliana Queiroz,2024-07-19,BRL,3986.27,PIX,Aprovada,Investimento,Banco do Brasil,1,60.82,4047.09
FIN000898,254.972.141-43,Carolina Azevedo,2024-08-28,BRL,83.23,Depósito,Recusada,Moradia,BTG,6,0.53,83.76
FIN000577,753.488.616-62,Carolina Azevedo,2023-11-09,BRL,5501.04,PIX,Pendente,Vestuário,XP,6,70.64,5571.68
FIN000804,626.541.452-16,Isabela Nunes,2024-06-03,BRL,23494.03,Pagamento,Aprovada,Alimentação,BTG,120,434.21,23928.24
FIN000127,433.849.274-67,Andre Monteiro,2022-09-24,BRL,17253.81,Saque,Recusada,Vestuário,Inter,12,295.21,17549.02
FIN000748,367.441.701-20,Leticia Moura,2024-04-13,BRL,2687.34,Depósito,Pendente,Investimento,XP,12,56.16,2743.5
FIN000475,435.565.258-93,Leticia Moura,2023-08-08,BRL,10536.54,Saque,Recusada,Vestuário,Banco do Brasil,1,311.17,10847.71
FIN000144,522.669.513-27,Priscila Gomes,2022-10-09,BRL,5238.85,Depósito,Pendente,Vestuário,Inter,6,131.2,5370.05
FIN000087,457.682.972-69,Leonardo Braga,2022-08-18,BRL,15366.31,PIX,Recusada,Investimento,XP,1,229.26331653225807,15512.75
FIN000848,326.709.480-22,Natalia Correia,2024-07-14,BRL,854.85,PIX,Aprovada,Investimento,XP,12,18.92,873.77
FIN000901,362.511.956-93,Beatriz Lopes,2024-08-31,BRL,17031.37,Pagamento,Pendente,Investimento,Banco do Brasil,2,85.19,17116.56
FIN000246,981.619.320-54,Andre Monteiro,2023-01-10,BRL,7686.14,PIX,Pendente,Vestuário,BTG,24,214.86,7901.0
FIN000075,452.870.589-41,Leticia Moura,2022-08-07,BRL,72198.39,Depósito,Aprovada,Viagem,C6 Bank,2,333.3,72531.69
FIN000647,375.929.995-23,Carolina Azevedo,2024-01-12,BRL,5195.52,Pagamento,Aprovada,Alimentação,Inter,1,79.42,5274.94
FIN000684,227.380.235-19,Henrique Pinto,2024-02-15,BRL,13126.98,PIX,Aprovada,Tecnologia,XP,2,213.73,17725.51
FIN000976,296.161.559-73,Leticia Moura,2024-11-08,BRL,7305.42,Saque,Aprovada,Alimentação,Banco do Brasil,6,52.5,7357.92
FIN000047,278.132.302-44,Beatriz,2022-07-13,BRL,6353.17,Depósito,Recusada,Tecnologia,BTG,1,147.73,6500.9
FIN000845,161.614.440-74,Andre Monteiro,2024-07-11,BRL,13967.71,Saque,Aprovada,Tecnologia,Inter,2,315.21,14282.92
FIN000571,876.231.330-41,Isabela Nunes,2023-11-03,BRL,7175.57,Depósito,Aprovada,Vestuário,Banco do Brasil,10,88.21,7263.78
FIN000755,214.258.739-94,Amanda Vieira,2024-04-20,BRL,20492.68,PIX,Pendente,Viagem,Inter,3,430.79,20923.47
FIN000428,488.660.578-89,Leonardo Braga,2023-06-26,BRL,6193.1,Saque,Recusada,Moradia,C6 Bank,1,179.49,6372.59
FIN000678,646.959.117-59,Vanessa Coelho,2024-02-09,BRL,1636.76,PIX,Recusada,Alimentação,C6 Bank,1,29.44,1666.2
FIN000554,107.125.176-87,Henrique,2023-10-19,BRL,13882.52,Depósito,,Viagem,C6 Bank,6,78.93,13961.45
FIN000672,934.359.109-75,Amanda Vieira,2024-02-04,BRL,2893.68,Depósito,Aprovada,Tecnologia,C6 Bank,1,43.97,2937.65
FIN000667,173.729.624-27,Andre Monteiro,2024-01-30,BRL,9325.94,Pagamento,Pendente,Viagem,Banco do Brasil,6,46.66,9372.6
FIN000263,273.917.554-78,Rafael Macedo,2023-01-26,BRL,16011.39,Depósito,Pendente,Moradia,C6 Bank,1,459.33,16470.72
FIN000631,482.229.617-72,Leticia Moura,,BRL,15706.82,Depósito,Aprovada,Alimentação,Banco do Brasil,12,291.65,15998.47
FIN000715,866.367.453-70,Isabela Nunes,2024-03-14,BRL,22855.53,PIX,Recusada,Investimento,BTG,2,646.39,23501.92
FIN000477,283.986.910-44,Vanessa Coelho,2023-08-10,BRL,7788.1,Depósito,Aprovada,Vestuário,XP,6,149.4,7937.5
FIN000489,169.164.189-23,Camila Rocha,2023-08-20,BRL,13126.98,Depósito,Aprovada,Investimento,BTG,1,147.15,20114.65
FIN000589,886.683.482-18,Leticia Moura,,BRL,65634.9,Depósito,Aprovada,Viagem,Inter,12,113.09,65747.98999999999
FIN000802,135.692.300-34,Andre Monteiro,2024-06-02,BRL,13126.98,Saque,,Moradia,C6 Bank,24,187.58,16311.36
FIN000155,748.485.436-14,Leticia Moura,,BRL,72198.39,Pagamento,Recusada,Viagem,C6 Bank,2,357.74,72556.13
FIN000639,106.785.427-82,Guilherme Mota,2024-01-05,BRL,72198.39,Pagamento,Pendente,Tecnologia,Banco do Brasil,1,127.4,72325.79
FIN000378,267.212.355-16,Rafael Macedo,,BRL,16881.62,Pagamento,Recusada,Moradia,BTG,2,378.57,17260.19
FIN000820,317.106.359-56,Thiago Cavalcanti,2024-06-18,BRL,18635.55,PIX,Recusada,Moradia,Banco do Brasil,24,256.85,18892.4
FIN000439,767.316.834-28,Vanessa Coelho,2023-07-06,BRL,12600.7,Saque,Recusada,Moradia,XP,12,321.3,12922.0
FIN000902,685.208.870-79,Vanessa Coelho,2024-09-01,BRL,17756.2,PIX,Pendente,Moradia,Inter,24,96.84,17853.04
FIN000390,530.129.648-24,Beatriz Lopes,2023-05-22,BRL,19175.88,Depósito,Pendente,,Inter,2,405.98,19581.86
FIN000309,211.397.333-96,Henrique Pinto,,BRL,18008.95,Depósito,Aprovada,Tecnologia,XP,2,529.62,18538.57
FIN000322,613.526.910-40,Leonardo Braga,2023-03-21,BRL,50.43,Transferência,Recusada,Viagem,C6 Bank,1,0.73,51.16
FIN000225,815.755.664-27,Amanda Vieira,2022-12-22,BRL,2280.2,Depósito,Recusada,Vestuário,BTG,12,31.17,2311.37
FIN000508,818.823.871-78,Rodrigo Farias,,BRL,1049.49,Pagamento,Recusada,Investimento,C6 Bank,1,21.24,1070.73
FIN000121,948.439.903-72,Juliana Queiroz,2022-09-18,BRL,72198.39,Pagamento,Pendente,Alimentação,Banco do Brasil,6,161.73,72360.12
FIN000110,125.758.222-30,Marcelo Teixeira,2022-09-08,BRL,20181.57,Saque,Pendente,Tecnologia,BTG,24,252.76,20434.33
FIN000289,409.354.683-99,Isabela Nunes,,BRL,20217.11,Pagamento,Aprovada,Moradia,XP,1,305.65,20522.76
FIN000607,997.639.103-71,Felipe Andrade,,BRL,15168.98,Depósito,Pendente,Moradia,Inter,6,328.45,15497.43
FIN000254,731.101.611-81,Isabela Nunes Nunes,2023-01-18,BRL,24428.53,Pagamento,Pendente,Viagem,BTG,6,700.29,25128.82
FIN000214,444.155.101-20,Andre Monteiro,2022-12-12,BRL,24686.02,Depósito,Pendente,Moradia,BTG,24,421.9,25107.92
FIN000496,674.391.802-62,Isabela Nunes,2023-08-27,BRL,24935.57,Saque,Pendente,Vestuário,XP,1,336.2,25271.77
FIN000452,189.606.178-28,Beatriz Lopes,,BRL,12185.91,Depósito,Pendente,Vestuário,C6 Bank,24,341.93,12527.84
FIN000108,710.477.350-54,Natalia Correia,2022-09-06,BRL,3907.77,Depósito,Recusada,Investimento,XP,1,31.39,3939.16
FIN000724,520.136.138-25,Rodrigo Farias,2024-03-22,BRL,11577.19,PIX,Pendente,Investimento,Banco do Brasil,12,229.26331653225807,11806.45331653226
FIN000063,526.862.316-25,Thiago Cavalcanti,2022-07-27,BRL,24412.46,Depósito,Pendente,Alimentação,XP,3,410.99,24823.45
FIN000767,837.275.846-62,Diego Peixoto,2024-05-01,BRL,22400.13,PIX,Recusada,Investimento,Banco do Brasil,24,550.55,22950.68
FIN000154,583.290.260-46,Andre Monteiro,2022-10-18,BRL,24083.58,Saque,Recusada,Moradia,Inter,2,562.83,24646.41
FIN000924,478.348.504-38,Felipe Andrade,2024-09-21,BRL,7853.86,PIX,Recusada,Vestuário,BTG,2,45.47,7899.33
FIN000064,134.267.592-25,Leonardo Braga,2022-07-28,BRL,17646.94,Depósito,Recusada,Viagem,XP,3,272.26,17919.199999999997
FIN000101,649.480.299-29,Rafael Macedo,2022-08-31,BRL,19262.44,Pagamento,,Vestuário,BTG,2,474.05,19736.49
FIN000209,432.130.541-67,Felipe Andrade,2022-12-08,BRL,1099.12,Depósito,Recusada,Investimento,Banco do Brasil,3,19.68,1118.8
FIN000494,727.527.553-49,Andre Monteiro,2023-08-25,BRL,20330.62,Depósito,Pendente,Vestuário,Inter,3,540.67,20871.29
FIN000049,172.189.273-12,Priscila Gomes,2022-07-14,BRL,11682.64,Depósito,Recusada,Moradia,Banco do Brasil,2,132.2,11814.84
FIN000545,813.924.781-97,Rodrigo Farias,2023-10-11,BRL,10655.14,Pagamento,Aprovada,Moradia,,6,265.53,10920.67
FIN000764,829.526.770-83,Leticia Moura,2024-04-28,BRL,4387.33,PIX,Recusada,Vestuário,XP,12,80.2,4467.53
FIN000270,907.227.539-67,Felipe Andrade,,BRL,23771.89,Depósito,Pendente,Moradia,BTG,3,216.2,23988.09
FIN000669,750.248.239-76,Isabela Nunes,,BRL,22896.01,Pagamento,Aprovada,Moradia,XP,2,439.17,23335.18
FIN000003,455.445.349-47,Beatriz Lopes,2022-06-02,BRL,82699.974,Pagamento,Recusada,Alimentação,XP,24,448.24,83148.214
FIN000273,998.366.138-19,Vanessa Coelho,2023-02-04,BRL,23839.28,Transferência,Aprovada,Viagem,C6 Bank,2,273.86,24113.14
FIN000881,106.114.725-23,Camila Rocha,2024-08-13,BRL,4783.31,Depósito,Aprovada,Vestuário,BTG,12,135.59,4918.9
FIN000645,744.538.987-29,Amanda Vieira,2024-01-10,BRL,13358.51,Pagamento,Pendente,Moradia,Banco do Brasil,1,265.47,13623.98
FIN000619,608.944.508-58,Diego Peixoto,2023-12-17,BRL,20120.86,Pagamento,Aprovada,Vestuário,C6 Bank,1,130.53,20251.39
FIN000910,233.787.728-48,Beatriz Lopes,2024-09-08,BRL,12180.58,Saque,Pendente,Viagem,Banco do Brasil,12,297.56,12478.14
FIN000674,816.939.407-12,Beatriz Lopes,2024-02-06,BRL,3691.84,Depósito,Recusada,Moradia,BTG,12,44.73,3736.57
FIN000878,516.362.465-60,Natalia Correia,2024-08-10,BRL,13126.98,Saque,Recusada,Tecnologia,XP,2,54.87,13181.85
FIN000295,483.409.392-32,Andre Monteiro,2023-02-24,BRL,6480.14,Saque,Recusada,Vestuário,XP,24,126.52,6606.66
FIN000799,135.586.999-55,Andre Monteiro,2024-05-30,BRL,3120.66,PIX,Aprovada,Investimento,C6 Bank,1,31.68,3152.34
FIN000482,659.400.665-40,Camila Rocha,2023-08-14,BRL,21620.4,Saque,Recusada,Alimentação,C6 Bank,3,478.06,22098.46
FIN000220,228.362.512-35,Juliana Queiroz,2022-12-18,BRL,21786.71,Depósito,Recusada,Alimentação,XP,3,272.57,22059.28
FIN000375,317.504.655-11,Guilherme Mota,2023-05-08,BRL,9873.21,Depósito,Recusada,Moradia,Inter,12,61.37,9934.58
FIN000701,931.960.548-11,Andre Monteiro,,BRL,21890.11,Saque,Recusada,Moradia,C6 Bank,24,144.34,22034.45
FIN000085,864.358.469-26,Leticia Moura,2022-08-16,BRL,5919.9,Saque,Aprovada,Viagem,C6 Bank,1,91.15,6011.049999999999
FIN000278,993.701.223-76,Priscila Gomes,2023-02-09,BRL,10302.36,Pagamento,Aprovada,Investimento,XP,12,128.76,10431.12
FIN000947,857.142.766-38,Leticia Moura,2024-10-12,BRL,13126.98,Depósito,Recusada,Vestuário,Banco do Brasil,12,282.9,16783.11
FIN000586,390.168.969-61,Rafael Macedo,2023-11-17,BRL,15109.12,Depósito,Aprovada,Alimentação,C6 Bank,2,397.18,15506.3
FIN000296,883.483.172-22,Isabela Nunes,2023-02-25,BRL,15469.6,Pagamento,Recusada,Viagem,Inter,6,99.93,15569.53
FIN000850,Não informado,Vanessa Coelho,2024-07-15,BRL,11392.87,Depósito,Pendente,Vestuário,C6 Bank,12,236.0,11628.87
FIN000400,777.127.763-92,Camila Rocha,2023-05-31,BRL,13214.83,Depósito,,Alimentação,Banco do Brasil,2,240.17,13455.0
FIN000778,271.157.841-56,Leticia Moura,2024-05-11,BRL,13853.37,Depósito,Pendente,Investimento,XP,24,122.77,13976.14
FIN000771,906.293.609-44,Andre Monteiro,,BRL,15699.41,Saque,Pendente,Investimento,Inter,1,237.3,15936.71
FIN000567,235.597.686-34,Isabela Nunes,,BRL,23321.46,PIX,Recusada,Alimentação,Inter,24,158.2,23479.66
FIN000693,500.659.947-92,Beatriz Lopes,2024-02-23,BRL,11509.82,PIX,Recusada,Viagem,Banco do Brasil,24,73.08,11582.9
FIN000733,682.352.156-37,Thiago Cavalcanti,2024-03-30,BRL,24938.14,Saque,Recusada,Viagem,Banco do Brasil,3,724.91,25663.05
FIN000703,522.925.782-91,Vanessa Coelho,2024-03-03,BRL,13126.98,Pagamento,Pendente,Moradia,Banco do Brasil,12,82.6,13209.58
FIN000598,429.255.221-12,Rodrigo Farias,,BRL,4926.5,PIX,Recusada,Viagem,XP,3,89.59,5016.09
FIN000566,263.491.170-67,Henrique Pinto,2023-10-30,BRL,4242.05,Depósito,Aprovada,Tecnologia,XP,2,119.11,4361.16
FIN000520,494.719.943-55,Rodrigo Farias,2023-09-18,BRL,21087.37,PIX,Aprovada,Alimentação,BTG,6,376.62,21463.989999999998
FIN000065,911.871.287-35,Rafael Macedo,2022-07-29,BRL,15933.67,Depósito,Pendente,Alimentação,Inter,12,424.62,16358.29
FIN000133,646.121.552-96,Priscila Gomes,2022-09-29,BRL,15288.05,Depósito,Aprovada,Alimentação,C6 Bank,3,174.39,15462.44
FIN000608,302.568.506-24,Henrique Pinto,2023-12-07,BRL,22309.85,Pagamento,Recusada,Alimentação,C6 Bank,1,492.38,22802.23
FIN000962,577.143.519-36,Rodrigo Farias,2024-10-26,BRL,21994.49,Pagamento,Aprovada,Tecnologia,XP,12,534.44,22528.93
FIN000705,639.476.422-63,Diego Peixoto,2024-03-05,BRL,13126.98,Saque,Recusada,Vestuário,XP,1,194.96,17101.92
FIN000082,494.290.787-56,Natalia Correia,2022-08-14,BRL,12930.51,Saque,Recusada,Tecnologia,Inter,24,226.13,13156.64
FIN000276,323.808.331-92,Diego Peixoto,2023-02-07,BRL,11392.74,PIX,Pendente,Moradia,Banco do Brasil,3,214.06,11606.8
FIN000637,685.407.780-49,Vanessa Coelho,2024-01-03,BRL,11102.32,PIX,Aprovada,Moradia,C6 Bank,6,209.66,11311.98
FIN000116,280.311.703-21,Carolina Azevedo,2022-09-14,BRL,18796.28,Depósito,Pendente,Vestuário,C6 Bank,3,544.9,19341.18
FIN000192,827.655.699-44,Vanessa Coelho,2022-11-22,BRL,15235.19,PIX,Pendente,Moradia,C6 Bank,24,251.94,15487.130000000001
FIN000810,214.142.911-54,Vanessa Coelho,2024-06-09,BRL,6874.12,Depósito,Pendente,,XP,6,76.98,6951.1
FIN000770,156.710.855-43,Vanessa Coelho,2024-05-03,BRL,11287.57,Depósito,Recusada,Viagem,C6 Bank,24,270.45,11558.02
FIN000351,395.883.175-16,Diego Peixoto,2023-04-16,BRL,23963.97,Depósito,Aprovada,Viagem,Inter,1,283.73,24247.7
FIN000787,834.849.482-49,Guilherme Mota,2024-05-19,BRL,72198.39,Transferência,Pendente,Investimento,C6 Bank,2,110.94,72309.33
FIN000572,Não informado,Leticia Moura,2023-11-04,BRL,20850.09,Transferência,Recusada,Vestuário,BTG,24,143.59,20993.68
FIN000260,292.701.594-43,Camila Rocha,2023-01-23,BRL,21453.02,Saque,Pendente,Moradia,Inter,12,119.15,21572.17
FIN000502,644.197.677-83,Amanda Vieira,2023-09-01,BRL,16680.79,Depósito,Pendente,Tecnologia,BTG,2,305.18,16985.97
FIN000183,772.155.393-22,Camila Rocha,2022-11-14,BRL,4788.02,PIX,Aprovada,Investimento,XP,24,46.08,4834.1
FIN000834,259.500.497-77,Marcelo Teixeira Teixeira,2024-07-01,BRL,13357.4,Saque,Pendente,Tecnologia,Inter,12,362.6,13720.0
FIN000481,342.603.401-77,Felipe Andrade,2023-08-13,BRL,2726.24,Saque,Pendente,Viagem,BTG,2,56.18,2782.42
FIN000612,142.629.688-25,Juliana Queiroz,2023-12-11,BRL,8007.38,Depósito,Aprovada,Viagem,Inter,6,201.59,8208.97
FIN000542,525.341.423-95,Natalia Correia,2023-10-08,BRL,22079.2,Pagamento,Recusada,Viagem,BTG,6,448.21,22527.41
FIN000564,794.833.965-63,Leonardo Braga,,BRL,13777.96,PIX,Pendente,Investimento,BTG,12,203.4,13981.36
FIN000720,456.154.366-36,Marcelo Teixeira,2024-03-19,BRL,9897.6,Depósito,Recusada,Alimentação,C6 Bank,12,292.97,10190.57
FIN000007,890.934.957-57,Guilherme Mota,2022-06-06,BRL,7475.68,Depósito,Aprovada,Viagem,Banco do Brasil,1,74.41,7550.09
FIN000890,512.893.585-14,Amanda Vieira,2024-08-21,BRL,16226.74,Depósito,Pendente,Moradia,C6 Bank,2,335.7,16562.44
FIN000928,Não informado,Beatriz Lopes,2024-09-25,BRL,6732.06,Depósito,Aprovada,Moradia,Banco do Brasil,12,94.4,6826.46
FIN000421,964.551.108-26,Beatriz Lopes,2023-06-19,BRL,10278.53,PIX,Recusada,Moradia,Banco do Brasil,3,226.42,10504.95
FIN000957,867.470.433-42,Diego Peixoto,2024-10-21,BRL,3723.08,PIX,Pendente,Tecnologia,Banco do Brasil,24,46.59,3769.67
FIN000041,319.538.934-75,Beatriz Lopes,,BRL,13575.09,Saque,Pendente,Viagem,Inter,12,239.16,13814.25
FIN000436,279.377.171-85,Isabela Nunes,,BRL,72198.39,Depósito,Recusada,Investimento,C6 Bank,1,102.6,72300.99
FIN000470,582.194.910-28,Marcelo,,BRL,11252.51,Depósito,Recusada,Moradia,BTG,24,300.09,11552.6
FIN000308,458.511.958-10,Guilherme Mota,2023-03-08,BRL,9821.92,Depósito,Pendente,Investimento,XP,6,269.54,10091.46
FIN000813,549.853.320-91,Camila Rocha,2024-06-12,BRL,13126.98,Depósito,,Alimentação,C6 Bank,12,288.99,13791.44
